date,stage,rolling_pass_count,rolling_universe_count,rolling_rate,strategy,feed,panel_window,canonical_status,window_days
2022-01-12,s1_signal_raw,10,740,0.013513513513513514,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s2_day_pass,5,740,0.006756756756756757,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s3_session_pass,1,740,0.0013513513513513514,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s4_hour_pass,1,740,0.0013513513513513514,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s1_signal_raw,17,832,0.020432692307692308,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s2_day_pass,10,832,0.01201923076923077,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s3_session_pass,3,832,0.003605769230769231,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s4_hour_pass,2,832,0.002403846153846154,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s1_signal_raw,20,920,0.021739130434782608,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s2_day_pass,11,920,0.011956521739130435,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s3_session_pass,3,920,0.003260869565217391,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s4_hour_pass,2,920,0.002173913043478261,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s1_signal_raw,20,924,0.021645021645021644,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s2_day_pass,11,924,0.011904761904761904,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s3_session_pass,3,924,0.003246753246753247,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s4_hour_pass,2,924,0.0021645021645021645,guardian,OANDA,2022-01-02_2026-04-19,PROXY,90
